order_id,channel,store_format,city,city zone,department,category,brand,sku id,base unit price,discount,price after discount,TLV,discount percentage,high discount,quantity,line value,promo code used,promo code type,promo applied,ad channel,campaign,payment method,device type,delivery type,number of items,returned,reason for return,return value,stocked out,loyalty member,user ID,age,age group,gender,nationality,hour of day,day of week,order month,
LULU-000001,Online App,Web DC,Dubai,Downtown,Grocery,Fresh Produce,Pepsi,SKU-906309,23.36,3.31,20.05,80.2,14.17%,Medium,4,80.2,1,Percent,1,Google Search,FreshersUni,Card,Android,Same-Day,12,0,,0,0,1,CUST-06078,24,18-25,Male,SE Asian,17,Saturday,2025-05,
LULU-000002,Online App,Web DC,Abu Dhabi,Corniche,Fashion,Footwear,Levi's,SKU-979234,181.82,28.69,153.13,306.26,15.78%,Medium,2,306.26,1,BOGO,1,TikTok,SummerHeat,Card,Android,Next-Day,4,0,,0,0,1,CUST-10961,26,26-35,Male,South Asian,13,Thursday,2025-08,
LULU-000003,In-Store POS,Express,Abu Dhabi,Khalifa City,Grocery,Fresh Produce,Kellogg's,SKU-689633,37.51,5.57,31.94,63.88,14.85%,Medium,2,63.88,1,BOGO,1,Referral,MidnightMadness,Card,N/A,Carryout,5,0,,0,0,1,CUST-05475,45,36-45,Male,Arab Expat (non-GCC),0,Wednesday,2025-10,
LULU-000004,Online App,Web DC,Abu Dhabi,Al Shawamekh,Fashion,Kidswear,Levi's,SKU-154422,294.9,67.24,227.66,227.66,22.80%,Medium,1,227.66,1,Percent,1,Facebook,WeekendSaver,Card,Android,Next-Day,11,0,,0,0,0,CUST-11566,34,26-35,Male,Western Expat,20,Sunday,2025-06,
LULU-000005,In-Store POS,Hypermarket,Dubai,Bur Dubai,Pharmacy,Vitamins,Strepsils,SKU-688211,231.14,19.62,211.52,211.52,8.49%,Low,1,211.52,1,Percent,1,Email,BackToSchool2025,Card,N/A,Carryout,6,0,,0,0,1,CUST-07662,25,18-25,Female,Other,12,Sunday,2025-10,
LULU-000006,In-Store POS,Express,Dubai,JLT,Electronics,Tablets,Lenovo,SKU-101751,2653.07,444.11,2208.96,2208.96,16.74%,Medium,1,2208.96,1,Percent,1,SMS,BackToSchool2025,Cash,N/A,Carryout,6,0,,0,0,1,CUST-08750,37,36-45,Female,South Asian,10,Thursday,2025-09,
LULU-000007,In-Store POS,Express,Abu Dhabi,Khalifa City,Grocery,Snacks,Almarai,SKU-495936,79.06,2.81,76.25,533.75,3.55%,Low,7,533.75,1,Percent,1,SMS,NationalDay,Card,N/A,Carryout,6,0,,0,0,1,CUST-10914,37,36-45,Female,Western Expat,4,Tuesday,2025-09,
LULU-000008,Online App,Web DC,Dubai,Bur Dubai,Home & Living,Kitchenware,Ikea-ish,SKU-867598,147,23.48,123.52,370.56,15.97%,Medium,3,370.56,1,Percent,1,Google Search,WeekendSaver,Wallet,Android,Next-Day,3,0,,0,0,0,CUST-11944,37,36-45,Male,South Asian,8,Tuesday,2025-09,
LULU-000009,Online App,Hypermarket,Dubai,Marina,Electronics,Accessories,Apple,SKU-197270,741.84,183.55,558.29,558.29,24.74%,Medium,1,558.29,1,Percent,1,YouTube,MidnightMadness,Card,Android,Next-Day,5,0,,0,0,0,CUST-10833,30,26-35,Female,South Asian,0,Wednesday,2025-05,
LULU-000010,In-Store POS,Hypermarket,Dubai,Marina,Home & Living,Bedding,Prestige,SKU-405976,567.83,88.96,478.87,478.87,15.67%,Medium,1,478.87,1,FreeDelivery,1,SMS,MidnightMadness,Card,N/A,Carryout,2,0,,0,0,0,CUST-02544,23,18-25,Female,Western Expat,23,Friday,2025-10,
LULU-000011,Online App,Web DC,Sharjah,University Area,Bakery Counter,Sandwiches,Lulu Bakery,SKU-592089,60.32,10.66,49.66,446.94,17.67%,Medium,9,446.94,1,Percent,1,Facebook,WeekendSaver,Card,Desktop,Same-Day,4,0,,0,0,1,CUST-03623,33,26-35,Male,Arab Expat (non-GCC),7,Wednesday,2025-06,
LULU-000012,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Fashion,Menswear,BrandX,SKU-460146,22.11,3.26,18.85,37.7,14.74%,Medium,2,37.7,1,FreeDelivery,1,Referral,BackToSchool2025,Card,N/A,Carryout,2,0,,0,0,0,CUST-11227,31,26-35,Female,SE Asian,9,Thursday,2025-08,
LULU-000013,Online App,Web DC,Dubai,Business Bay,Grocery,Household,Nestlé,SKU-961166,47.29,1.7,45.59,182.36,3.59%,Low,4,182.36,1,FreeDelivery,1,Email,ResidentsOnly,Wallet,Android,Same-Day,10,0,,0,0,1,CUST-04977,35,26-35,Female,UAE National,1,Wednesday,2025-05,
LULU-000014,In-Store POS,Hypermarket,Dubai,Mirdif,Grocery,Personal Care,Rainbow,SKU-692250,14.52,2.05,12.47,12.47,14.12%,Medium,1,12.47,1,Percent,1,Referral,Ramadan2025,Cash,N/A,Carryout,7,0,,0,0,1,CUST-09618,40,36-45,Male,Western Expat,0,Thursday,2025-08,
LULU-000015,Online App,Web DC,Dubai,JBR,Home & Living,Furniture,Ikea-ish,SKU-906647,688.2,100.4,587.8,1175.6,14.59%,Medium,2,1175.6,1,Percent,1,YouTube,NationalDay,Card,Android,Next-Day,8,0,,0,0,1,CUST-02175,31,26-35,Female,South Asian,3,Tuesday,2025-05,
LULU-000016,In-Store POS,Hypermarket,Ras Al Khaimah,Old Town,Grocery,Baby,Al Ain,SKU-818103,78.18,8.64,69.54,278.16,11.05%,Medium,4,278.16,1,Percent,1,Outdoor,Ramadan2025,Wallet,N/A,Carryout,6,0,,0,0,0,CUST-03861,29,26-35,Female,Western Expat,1,Wednesday,2025-07,
LULU-000017,In-Store POS,Hypermarket,Sharjah,Suburb,Grocery,Household,Rainbow,SKU-799041,36.19,1.6,34.59,103.77,4.42%,Low,3,103.77,1,Percent,1,Outdoor,FreshersUni,Cash,N/A,Carryout,13,0,,0,0,1,CUST-05411,38,36-45,Male,South Asian,14,Sunday,2025-04,
LULU-000018,Online App,Web DC,Abu Dhabi,Khalifa City,Grocery,Personal Care,Nestlé,SKU-800941,49,0.07,48.93,733.95,0.14%,Low,15,733.95,1,Percent,1,YouTube,LunchRush,Wallet,Android,Same-Day,9,0,,0,0,0,CUST-10671,35,26-35,Male,SE Asian,23,Friday,2025-08,
LULU-000019,In-Store POS,Hypermarket,Abu Dhabi,Khalifa City,Pharmacy,Baby Care,GSK,SKU-133388,234.47,12.97,221.5,443,5.53%,Low,2,443,1,Percent,1,Referral,LunchRush,Card,N/A,Carryout,4,0,,0,0,1,CUST-06085,34,26-35,Male,GCC Expat,11,Sunday,2025-06,
LULU-000020,Web,Hypermarket,Ras Al Khaimah,Airport Area,Grocery,Baby,Nadec,SKU-960031,17.51,1.99,15.52,139.68,11.36%,Medium,9,139.68,1,Percent,1,Referral,ResidentsOnly,Card,Desktop,Same-Day,8,0,,0,0,0,CUST-04603,28,26-35,Male,Arab Expat (non-GCC),3,Wednesday,2025-04,
LULU-000021,Online App,Web DC,Fujairah,Airport Area,Grocery,Dairy & Eggs,Nestlé,SKU-374608,18.87,1.84,17.03,51.09,9.75%,Low,3,51.09,1,Percent,1,TikTok,FreshersUni,Card,Android,Same-Day,6,0,,0,0,1,CUST-05864,30,26-35,Male,South Asian,19,Saturday,2025-08,
LULU-000022,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Grocery,Bakery,Coca-Cola,SKU-681124,6.81,0.33,6.48,6.48,4.85%,Low,1,6.48,1,Percent,1,Referral,ResidentsOnly,Wallet,N/A,Carryout,10,0,,0,0,1,CUST-03708,46,46-60,Female,South Asian,17,Friday,2025-08,
LULU-000023,In-Store POS,Hypermarket,Dubai,Al Barsha,Grocery,Snacks,Almarai,SKU-506486,7.9,0.82,7.08,14.16,10.38%,Medium,2,14.16,1,Flat,1,SMS,Ramadan2025,Cash,N/A,Carryout,8,0,,0,0,0,CUST-08556,22,18-25,Other/Prefer not to say,UAE National,19,Tuesday,2025-07,
LULU-000024,In-Store POS,Hypermarket,Al Ain,City Center,Electronics,Home Appliances,HP,SKU-298245,247.28,22.27,225.01,225.01,9.01%,Low,1,225.01,1,Percent,1,Outdoor,SummerHeat,Card,N/A,Carryout,7,0,,0,0,1,CUST-09594,29,26-35,Male,Arab Expat (non-GCC),13,Monday,2025-05,
LULU-000025,Web,Web DC,Sharjah,Suburb,Home & Living,Cleaning,Ikea-ish,SKU-758838,815.5,147.97,667.53,667.53,18.14%,Medium,1,667.53,1,Percent,1,Referral,WeekendSaver,Card,iOS,Next-Day,7,0,,0,0,0,CUST-07667,40,36-45,Female,Western Expat,2,Friday,2025-10,
